# SECURE EVENT LOG SAMPLE
# Format: TIMESTAMP | DEVICE | ZONE | EVENT | USER | CARD | STATUS | REASON | RETRY | CRC
# Synthetic data for testing compression/encryption pipeline

2026-04-01 08:00:03 | CTRL-01 | LOBBY       | ACCESS_DENIED  | U1015  | CARD500015 | DENIED  | USER_UNAUTHORIZED | RETRY=1 | CRC=347A
2026-04-01 08:00:06 | DOOR-A2 | WAREHOUSE   | HEARTBEAT      | SYSTEM | NA         | NORMAL  | POWER_OK         | RETRY=0 | CRC=D806
2026-04-01 08:00:07 | CTRL-01 | LOBBY       | STATUS_UPDATE  | SYSTEM | NA         | NORMAL  | LOW_BATTERY      | RETRY=0 | CRC=0D96
2026-04-01 08:00:09 | CTRL-02 | OFFICE_3F   | ACCESS_GRANTED | U1034  | CARD500034 | GRANTED | SCHEDULE_OK      | RETRY=0 | CRC=E5FE
2026-04-01 08:00:11 | GATE-01 | PARKING     | DOOR_OPEN      | SYSTEM | NA         | NORMAL  | POWER_OK         | RETRY=0 | CRC=D860
2026-04-01 08:00:12 | GATE-01 | SERVER_ROOM | STATUS_UPDATE  | SYSTEM | NA         | NORMAL  | NETWORK_RESTORED | RETRY=0 | CRC=3454
2026-04-01 08:00:13 | GATE-02 | LOBBY       | STATUS_UPDATE  | SYSTEM | NA         | NORMAL  | NETWORK_RESTORED | RETRY=0 | CRC=876F
2026-04-01 08:00:18 | CTRL-01 | OFFICE_3F   | ACCESS_REQUEST | U1007  | CARD500007 | OK      | PIN_OK           | RETRY=0 | CRC=961B
2026-04-01 08:00:23 | DOOR-A2 | WAREHOUSE   | DOOR_CLOSE     | SYSTEM | NA         | NORMAL  | POWER_OK         | RETRY=0 | CRC=6273
2026-04-01 08:00:26 | CTRL-01 | LOBBY       | ACCESS_GRANTED | U1049  | CARD500049 | GRANTED | SCHEDULE_OK      | RETRY=0 | CRC=7730
2026-04-01 08:00:31 | CTRL-01 | LAB_B       | STATUS_UPDATE  | SYSTEM | NA         | NORMAL  | LOW_BATTERY      | RETRY=0 | CRC=BACB
2026-04-01 08:00:32 | GATE-01 | LAB_A       | STATUS_UPDATE  | SYSTEM | NA         | NORMAL  | NETWORK_RESTORED | RETRY=0 | CRC=248E
2026-04-01 08:00:34 | DOOR-A2 | SERVER_ROOM | ACCESS_REQUEST | U1015  | CARD500015 | OK      | CARD_OK          | RETRY=1 | CRC=C247
2026-04-01 08:00:35 | DOOR-A2 | OFFICE_3F   | ACCESS_REQUEST | U1043  | CARD500043 | OK      | PIN_OK           | RETRY=0 | CRC=7545
2026-04-01 08:00:40 | CTRL-01 | PARKING     | STATUS_UPDATE  | SYSTEM | NA         | NORMAL  | NETWORK_RESTORED | RETRY=0 | CRC=21E3
2026-04-01 08:00:41 | DOOR-A1 | OFFICE_3F   | STATUS_UPDATE  | SYSTEM | NA         | NORMAL  | LOW_BATTERY      | RETRY=0 | CRC=FF9B
2026-04-01 08:00:43 | DOOR-A2 | LAB_B       | HEARTBEAT      | SYSTEM | NA         | NORMAL  | POWER_OK         | RETRY=0 | CRC=477D
2026-04-01 08:00:44 | DOOR-A2 | WAREHOUSE   | ACCESS_REQUEST | U1047  | CARD500047 | OK      | PIN_OK           | RETRY=1 | CRC=B957
2026-04-01 08:00:45 | CTRL-02 | WAREHOUSE   | ACCESS_REQUEST | U1048  | CARD500048 | OK      | CARD_OK          | RETRY=0 | CRC=4E41
2026-04-01 08:00:48 | CTRL-02 | PARKING     | ACCESS_GRANTED | U1038  | CARD500038 | GRANTED | USER_AUTHORIZED  | RETRY=1 | CRC=C363
